controller,meas_kind,filter_model,family,n_sigma,n_infeasible,status,baseline_sigma,baseline_dv,knee_stable,knee_fit,knee_fit_extrapolated,knee_p05,knee_p10,knee_p25,knee_p50
impulsive,angles,gim_alfriend,along_track,4,0,rising,2.42e-05,7.858328394607465,False,0.00014901330978526125,False,0.000242,inf,inf,inf
impulsive,angles,gim_alfriend,ei_safe,4,0,rising,2.42e-05,38.72751635673047,False,0.0006085123187863008,True,0.000485,inf,inf,inf
impulsive,angles,gim_alfriend,pco,4,0,flat,2.42e-05,14.158958523070345,False,,False,0.000485,0.000485,inf,inf
impulsive,angles,kgd,along_track,5,0,flat,2.42e-05,1.127111706335493,True,,False,inf,inf,inf,inf
impulsive,angles,kgd,ei_safe,4,1,falling,2.42e-05,237.7268993150108,True,,False,4.85e-05,4.85e-05,4.85e-05,4.85e-05
impulsive,angles,kgd,pco,4,1,falling,4.85e-05,2111.611683651451,True,,False,inf,inf,inf,inf
impulsive,angles,ss,along_track,5,0,flat,2.42e-05,11.88456947245888,True,,False,inf,inf,inf,inf
impulsive,angles,ss,ei_safe,4,2,flat,2.42e-05,45.642472944622014,False,,False,4.85e-05,4.85e-05,inf,inf
impulsive,angles,ss,pco,4,2,flat,2.42e-05,36.53303722694052,False,,False,4.85e-05,4.85e-05,4.85e-05,inf
impulsive,cdgps,gim_alfriend,along_track,4,0,rising,0.005,8.668163166962803,True,4.794255296936323,True,inf,inf,inf,inf
impulsive,cdgps,gim_alfriend,ei_safe,4,0,falling,0.005,39.25741990723533,True,,False,inf,inf,inf,inf
impulsive,cdgps,gim_alfriend,pco,4,0,falling,0.005,14.562264475983703,True,,False,inf,inf,inf,inf
impulsive,cdgps,kgd,along_track,4,0,falling,0.005,2.958988573561375,True,,False,inf,inf,inf,inf
impulsive,cdgps,kgd,ei_safe,4,0,falling,0.005,30.87193323621547,True,,False,inf,inf,inf,inf
impulsive,cdgps,kgd,pco,4,0,falling,0.005,7.218810053584825,True,,False,inf,inf,inf,inf
impulsive,cdgps,ss,along_track,4,0,rising,0.005,9.043183909751258,True,0.21890919972320128,True,inf,inf,inf,inf
impulsive,cdgps,ss,ei_safe,4,0,falling,0.005,36.97679580740421,True,,False,inf,inf,inf,inf
impulsive,cdgps,ss,pco,4,0,flat,0.005,12.473258204514643,True,,False,inf,inf,inf,inf
impulsive,rf,gim_alfriend,along_track,4,0,rising,0.1,9.386680111936016,False,5.215672282783472,False,10.0,10.0,inf,inf
impulsive,rf,gim_alfriend,ei_safe,4,0,flat,0.1,37.418825529265774,True,,False,inf,inf,inf,inf
impulsive,rf,gim_alfriend,pco,4,0,rising,0.1,12.679022576004932,True,18.463700464633334,True,inf,inf,inf,inf
impulsive,rf,kgd,along_track,4,2,flat,1.0,6.773925152572874,True,,False,inf,inf,inf,inf
impulsive,rf,kgd,ei_safe,4,0,flat,0.1,28.66241006246616,True,,False,inf,inf,inf,inf
impulsive,rf,kgd,pco,4,0,flat,0.1,6.003880044388742,True,,False,inf,inf,inf,inf
impulsive,rf,ss,along_track,4,0,flat,0.1,14.008276686508868,True,,False,1.0,1.0,1.0,1.0
impulsive,rf,ss,ei_safe,4,0,flat,0.1,68.45615056482336,True,,False,10.0,10.0,10.0,10.0
impulsive,rf,ss,pco,4,0,flat,0.1,51.89185830410945,True,,False,inf,inf,inf,inf
lqr,angles,gim_alfriend,along_track,4,0,flat,2.42e-05,131.7528885059316,True,,False,inf,inf,inf,inf
lqr,angles,gim_alfriend,ei_safe,4,0,rising,2.42e-05,121.07071477046637,True,0.0015007511254636339,True,inf,inf,inf,inf
lqr,angles,gim_alfriend,pco,4,0,rising,2.42e-05,123.35616605561714,False,5.114097128245406e-05,False,0.000242,inf,inf,inf
lqr,angles,kgd,along_track,4,0,falling,2.42e-05,30.64135811447622,True,,False,inf,inf,inf,inf
lqr,angles,kgd,ei_safe,4,3,flat,0.000485,69.8059526028592,True,,False,inf,inf,inf,inf
lqr,angles,kgd,pco,4,3,flat,0.000485,66.25632210891304,True,,False,inf,inf,inf,inf
lqr,angles,ss,along_track,4,0,rising,2.42e-05,36.89135723346918,False,8.313490770677016e-08,True,4.85e-05,4.85e-05,0.000242,0.000242
lqr,angles,ss,ei_safe,5,3,flat,2.42e-05,183.06694667499278,False,,False,4.85e-05,inf,inf,inf
lqr,angles,ss,pco,4,3,flat,2.42e-05,189.8157438924764,True,,False,inf,inf,inf,inf
lqr,cdgps,gim_alfriend,along_track,4,0,falling,0.005,140.39529899412176,True,,False,inf,inf,inf,inf
lqr,cdgps,gim_alfriend,ei_safe,4,0,falling,0.005,147.88930814022552,True,,False,inf,inf,inf,inf
lqr,cdgps,gim_alfriend,pco,4,0,falling,0.005,152.63524483405638,True,,False,inf,inf,inf,inf
lqr,cdgps,kgd,along_track,4,0,falling,0.005,85.0737852792322,True,,False,inf,inf,inf,inf
lqr,cdgps,kgd,ei_safe,4,0,falling,0.005,116.52627651520768,True,,False,inf,inf,inf,inf
lqr,cdgps,kgd,pco,4,0,falling,0.005,105.72136219411495,True,,False,inf,inf,inf,inf
lqr,cdgps,ss,along_track,4,0,rising,0.005,145.7225817820128,False,0.0007378052548786944,True,0.03,0.03,inf,inf
lqr,cdgps,ss,ei_safe,4,0,rising,0.005,136.5333382181807,False,1.9205894038655306e-05,True,0.03,0.03,inf,inf
lqr,cdgps,ss,pco,4,0,rising,0.005,140.8729643053792,False,3.557073482221186e-05,True,0.03,0.1,inf,inf
lqr,rf,gim_alfriend,along_track,4,0,rising,0.1,127.91948323629023,False,43.31883347421018,True,10.0,inf,inf,inf
lqr,rf,gim_alfriend,ei_safe,4,0,flat,0.1,125.66467967166614,True,,False,inf,inf,inf,inf
lqr,rf,gim_alfriend,pco,4,0,falling,0.1,129.3676666138403,True,,False,inf,inf,inf,inf
lqr,rf,kgd,along_track,4,0,falling,0.1,36.26102486461694,True,,False,inf,inf,inf,inf
lqr,rf,kgd,ei_safe,4,0,flat,0.1,44.46898058937092,True,,False,inf,inf,inf,inf
lqr,rf,kgd,pco,4,0,flat,0.1,17.60149517870432,False,,False,10.0,10.0,inf,inf
lqr,rf,ss,along_track,4,0,flat,0.1,169.99994081368652,False,,False,10.0,10.0,inf,inf
lqr,rf,ss,ei_safe,4,1,falling,0.1,954.6210513728522,True,,False,inf,inf,inf,inf
lqr,rf,ss,pco,4,1,falling,0.3,3011.7200083237067,True,,False,inf,inf,inf,inf
mpc,angles,gim_alfriend,along_track,4,0,rising,2.42e-05,54.76403764505641,False,2.649093788205973e-05,False,0.000242,inf,inf,inf
mpc,angles,gim_alfriend,ei_safe,4,0,flat,2.42e-05,89.31093985630639,True,,False,inf,inf,inf,inf
mpc,angles,gim_alfriend,pco,4,0,rising,2.42e-05,64.98400437756237,False,6.485534993253391e-06,True,0.000242,inf,inf,inf
mpc,angles,kgd,along_track,4,0,falling,2.42e-05,6.1563709632805015,True,,False,inf,inf,inf,inf
mpc,angles,kgd,ei_safe,4,3,flat,0.000485,38.230105598290606,True,,False,inf,inf,inf,inf
mpc,angles,kgd,pco,4,3,flat,0.000485,30.71145870885225,True,,False,inf,inf,inf,inf
mpc,angles,ss,along_track,4,0,rising,2.42e-05,22.20050552929355,False,1.3710530778109716e-05,True,0.000242,0.000242,0.000485,inf
mpc,angles,ss,ei_safe,5,3,flat,2.42e-05,95.01865721862507,False,,False,4.85e-05,inf,inf,inf
mpc,angles,ss,pco,4,2,flat,2.42e-05,83.21580307654635,False,,False,4.85e-05,4.85e-05,inf,inf
mpc,cdgps,gim_alfriend,along_track,4,0,flat,0.005,59.46020792446952,True,,False,inf,inf,inf,inf
mpc,cdgps,gim_alfriend,ei_safe,4,0,falling,0.005,101.02482895143945,True,,False,inf,inf,inf,inf
mpc,cdgps,gim_alfriend,pco,4,0,falling,0.005,81.13607824469685,True,,False,inf,inf,inf,inf
mpc,cdgps,kgd,along_track,5,0,falling,0.005,19.630648221585446,True,,False,inf,inf,inf,inf
