controller,meas_kind,filter_model,family,n_sigma,n_infeasible,status,baseline_sigma,baseline_dv,knee_stable,knee_fit,knee_fit_extrapolated,knee_p05,knee_p10,knee_p25,knee_p50
impulsive,angles,gim_alfriend,along_track,6,0,falling,2.42e-05,9.926703929624615,False,,False,4.85e-05,inf,inf,inf
impulsive,angles,gim_alfriend,ei_safe,6,4,flat,0.000242,55.39497427284321,True,,False,inf,inf,inf,inf
impulsive,angles,gim_alfriend,gero,6,5,flat,0.000242,24.927749755584905,True,,False,inf,inf,inf,inf
impulsive,angles,gim_alfriend,pco,6,6,infeasible,,,False,,False,,,,
impulsive,angles,kgd,along_track,6,0,rising,2.42e-05,0.694249534966134,False,0.0007436660535077596,False,4.85e-05,0.00145,0.00145,0.00145
impulsive,angles,kgd,ei_safe,6,0,falling,2.42e-05,29.564337772979936,True,,False,inf,inf,inf,inf
impulsive,angles,kgd,gero,6,0,rising,2.42e-05,6.38585091569355,False,0.0002111517345831989,False,0.000242,0.000242,inf,inf
impulsive,angles,kgd,pco,6,0,flat,2.42e-05,6.137663345476151,False,,False,4.85e-05,0.000145,inf,inf
impulsive,angles,ss,along_track,6,0,flat,2.42e-05,9.935985940362203,False,,False,0.00145,0.00145,inf,inf
impulsive,angles,ss,ei_safe,6,4,flat,2.42e-05,29.31483782587228,False,,False,4.85e-05,inf,inf,inf
impulsive,angles,ss,gero,6,4,flat,2.42e-05,20.8159569435658,True,,False,inf,inf,inf,inf
impulsive,angles,ss,pco,6,4,flat,2.42e-05,17.33982146318427,True,,False,inf,inf,inf,inf
impulsive,cdgps,gim_alfriend,along_track,6,0,rising,0.005,6.136349819498914,False,0.0008353636379660877,True,0.01,0.01,0.01,inf
impulsive,cdgps,gim_alfriend,ei_safe,6,0,flat,0.005,39.2120284635689,False,,False,0.03,0.03,inf,inf
impulsive,cdgps,gim_alfriend,gero,6,0,flat,0.005,13.832931696774796,False,,False,0.01,0.01,0.03,inf
impulsive,cdgps,gim_alfriend,pco,6,0,flat,0.005,13.359575004382398,False,,False,0.01,0.03,0.03,inf
impulsive,cdgps,kgd,along_track,6,0,flat,0.005,0.6346237475980685,False,,False,0.01,0.01,inf,inf
impulsive,cdgps,kgd,ei_safe,6,0,flat,0.005,28.441692051800032,True,,False,inf,inf,inf,inf
impulsive,cdgps,kgd,gero,6,0,flat,0.005,5.50779073312759,True,,False,inf,inf,inf,inf
impulsive,cdgps,kgd,pco,6,0,falling,0.005,5.582910984024547,True,,False,inf,inf,inf,inf
impulsive,cdgps,ss,along_track,6,0,rising,0.005,1.6953390416292866,True,1.335017854921517e-09,True,0.01,0.01,0.03,0.03
impulsive,cdgps,ss,ei_safe,6,0,falling,0.005,34.84908486827104,True,,False,inf,inf,inf,inf
impulsive,cdgps,ss,gero,6,0,rising,0.005,7.787545094200918,False,0.045730694384858696,False,0.1,0.1,1.0,inf
impulsive,cdgps,ss,pco,6,0,rising,0.005,7.82534722261591,False,0.041541430657294647,False,0.03,0.1,1.0,inf
impulsive,rf,gim_alfriend,along_track,6,0,flat,0.03,18.638683510158046,True,,False,inf,inf,inf,inf
impulsive,rf,gim_alfriend,ei_safe,6,0,falling,0.03,46.689530050725686,True,,False,inf,inf,inf,inf
impulsive,rf,gim_alfriend,gero,6,0,falling,0.03,23.772867149537486,True,,False,inf,inf,inf,inf
impulsive,rf,gim_alfriend,pco,6,0,falling,0.03,20.000694805399064,True,,False,inf,inf,inf,inf
impulsive,rf,kgd,along_track,6,0,rising,0.03,1.5626649453196695,True,0.06902440430149383,False,1.0,1.0,3.0,3.0
impulsive,rf,kgd,ei_safe,6,0,flat,0.03,28.59757061586352,True,,False,inf,inf,inf,inf
impulsive,rf,kgd,gero,6,0,rising,0.03,5.656247267706341,False,8.337976834686275,False,10.0,10.0,inf,inf
impulsive,rf,kgd,pco,6,0,rising,0.03,5.6497245001790315,False,11.129700613877594,True,10.0,inf,inf,inf
impulsive,rf,ss,along_track,6,0,flat,0.03,8.158435105745525,True,,False,inf,inf,inf,inf
impulsive,rf,ss,ei_safe,6,2,falling,0.1,64.63631439134946,True,,False,inf,inf,inf,inf
impulsive,rf,ss,gero,6,0,flat,0.03,22.002176570224158,False,,False,0.1,0.1,10.0,inf
impulsive,rf,ss,pco,6,0,falling,0.03,63.59403950550438,True,,False,inf,inf,inf,inf
lqr,angles,gim_alfriend,along_track,6,0,rising,2.42e-05,106.61701608431105,False,1.014778351543796e-07,True,4.85e-05,4.85e-05,0.000145,inf
lqr,angles,gim_alfriend,ei_safe,6,4,flat,0.000145,370.2319385894979,True,,False,inf,inf,inf,inf
lqr,angles,gim_alfriend,gero,6,5,flat,0.000145,139.88810379897524,True,,False,inf,inf,inf,inf
lqr,angles,gim_alfriend,pco,6,5,flat,0.000145,153.65901712235916,True,,False,inf,inf,inf,inf
lqr,angles,kgd,along_track,6,0,rising,2.42e-05,2.6920051677477774,False,2.2982665035484098e-05,True,4.85e-05,4.85e-05,0.000145,0.000145
lqr,angles,kgd,ei_safe,6,0,flat,2.42e-05,39.203090810546286,True,,False,inf,inf,inf,inf
lqr,angles,kgd,gero,6,0,rising,2.42e-05,12.16980327200294,False,0.0006161217302403195,False,4.85e-05,0.000485,inf,inf
lqr,angles,kgd,pco,6,0,rising,2.42e-05,11.985064091981176,False,1.7213069805306819e-07,True,0.000145,0.000485,0.000485,inf
lqr,angles,ss,along_track,6,0,rising,2.42e-05,29.181960497308694,False,3.1728944653731816e-07,True,4.85e-05,4.85e-05,0.000145,0.000145
lqr,angles,ss,ei_safe,6,4,flat,2.42e-05,99.02489130945125,False,,False,4.85e-05,inf,inf,inf
lqr,angles,ss,gero,6,6,infeasible,,,False,,False,,,,
lqr,angles,ss,pco,6,4,flat,2.42e-05,43.91317231819704,False,,False,4.85e-05,4.85e-05,inf,inf
lqr,cdgps,gim_alfriend,along_track,6,0,flat,0.005,134.17506350355268,False,,False,0.01,0.01,0.01,inf
lqr,cdgps,gim_alfriend,ei_safe,6,0,flat,0.005,105.30651394480378,False,,False,0.01,0.01,0.03,inf
lqr,cdgps,gim_alfriend,gero,6,0,rising,0.005,88.46230745304348,False,0.0004119741355357644,True,0.01,0.01,0.03,0.1
lqr,cdgps,gim_alfriend,pco,6,0,rising,0.005,93.95030540010123,False,0.0003848715085316736,True,0.01,0.01,0.03,0.1
lqr,cdgps,kgd,along_track,6,0,rising,0.005,2.0814386748325457,False,1.5353077632133133e-07,True,0.01,0.01,0.03,0.1
lqr,cdgps,kgd,ei_safe,6,0,flat,0.005,38.99607981353046,True,,False,inf,inf,inf,inf
lqr,cdgps,kgd,gero,6,0,flat,0.005,11.688941527173982,True,,False,inf,inf,inf,inf
lqr,cdgps,kgd,pco,6,0,flat,0.005,11.7495269843932,True,,False,inf,inf,inf,inf
lqr,cdgps,ss,along_track,6,0,rising,0.005,14.160005742160303,True,2.7199914679825576e-05,True,0.01,0.01,0.03,0.03
lqr,cdgps,ss,ei_safe,6,0,rising,0.005,77.1072556631899,False,2.094558705442165e-05,True,0.03,0.03,0.3,1.0
lqr,cdgps,ss,gero,6,0,rising,0.005,29.42027234376586,False,0.005073331252399353,False,0.03,0.03,0.1,0.3
lqr,cdgps,ss,pco,6,0,rising,0.005,29.434312367176815,False,0.005104417575908874,False,0.01,0.03,0.1,0.3
lqr,rf,gim_alfriend,along_track,6,0,flat,0.03,152.1230031577699,True,,False,inf,inf,inf,inf
lqr,rf,gim_alfriend,ei_safe,6,0,flat,0.03,218.75384051375835,True,,False,inf,inf,inf,inf
lqr,rf,gim_alfriend,gero,6,0,flat,0.03,167.0224312749183,True,,False,inf,inf,inf,inf
lqr,rf,gim_alfriend,pco,6,0,falling,0.03,157.3367102917359,True,,False,inf,inf,inf,inf
lqr,rf,kgd,along_track,6,0,flat,0.03,21.41657874109465,True,,False,inf,inf,inf,inf
lqr,rf,kgd,ei_safe,6,0,flat,0.03,40.07881836669431,True,,False,inf,inf,inf,inf
lqr,rf,kgd,gero,6,0,rising,0.03,11.81775467307025,False,3.1872982568958785,False,3.0,10.0,10.0,inf
lqr,rf,kgd,pco,6,0,rising,0.03,12.14043711220325,False,4.5947165220131465,False,10.0,10.0,10.0,inf
lqr,rf,ss,along_track,6,0,flat,0.03,68.72595229672238,True,,False,0.1,0.1,0.1,0.1
lqr,rf,ss,ei_safe,6,4,flat,0.3,497.5903739737353,True,,False,inf,inf,inf,inf
lqr,rf,ss,gero,6,1,rising,0.1,77.06612503338164,True,0.16866201751794319,False,0.3,0.3,0.3,0.3
lqr,rf,ss,pco,6,1,flat,0.03,124.17035195442851,True,,False,0.3,0.3,0.3,0.3
mpc,angles,gim_alfriend,along_track,6,0,rising,2.42e-05,54.88599135633766,True,0.0005601650530094669,False,inf,inf,inf,inf
mpc,angles,gim_alfriend,ei_safe,6,4,flat,0.000242,130.38547236242567,True,,False,inf,inf,inf,inf
mpc,angles,gim_alfriend,gero,6,5,flat,0.000242,104.1865387333744,True,,False,inf,inf,inf,inf
mpc,angles,gim_alfriend,pco,6,5,flat,0.000242,251.97838307461515,True,,False,inf,inf,inf,inf
mpc,angles,kgd,along_track,6,0,rising,2.42e-05,2.506946375925983,False,8.352977126735371e-05,False,0.000145,0.000242,0.000485,0.000485
mpc,angles,kgd,ei_safe,6,0,flat,2.42e-05,34.82993636873713,True,,False,inf,inf,inf,inf
mpc,angles,kgd,gero,6,0,flat,2.42e-05,13.690865652459294,True,,False,0.000145,0.000145,0.000145,0.000145
mpc,angles,kgd,pco,6,0,flat,2.42e-05,13.002677560290131,False,,False,4.85e-05,4.85e-05,inf,inf
mpc,angles,ss,along_track,6,0,rising,2.42e-05,18.914783283738323,False,9.325497506140018e-05,False,0.000145,0.000242,0.000485,0.00145
mpc,angles,ss,ei_safe,6,5,flat,2.42e-05,64.39872971767073,True,,False,inf,inf,inf,inf
mpc,angles,ss,gero,6,4,flat,2.42e-05,38.31929131807607,True,,False,inf,inf,inf,inf
mpc,angles,ss,pco,6,4,flat,2.42e-05,43.591425343841365,True,,False,inf,inf,inf,inf
mpc,cdgps,gim_alfriend,along_track,6,0,rising,0.005,40.38279304737778,False,0.0014178393812382354,True,0.01,0.01,0.01,inf
mpc,cdgps,gim_alfriend,ei_safe,6,0,flat,0.005,92.3183113434961,False,,False,0.01,0.01,0.03,inf
mpc,cdgps,gim_alfriend,gero,6,0,flat,0.005,71.91748402739765,False,,False,0.01,0.01,0.03,inf
mpc,cdgps,gim_alfriend,pco,6,0,flat,0.005,68.39705877531907,False,,False,0.01,0.01,0.03,inf
mpc,cdgps,kgd,along_track,6,0,rising,0.005,2.07843509923293,False,0.33786940044547853,False,0.3,1.0,1.0,inf
mpc,cdgps,kgd,ei_safe,6,0,flat,0.005,33.60721626971838,True,,False,inf,inf,inf,inf
